127.0.0.1 - - [13/May/2020:10:17:30 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/May/2020:10:17:32 +0900] "GET /bigdata/index_mvc.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [13/May/2020:10:17:32 +0900] "GET /bigdata/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:10:17:32 +0900] "GET /bigdata/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:10:17:38 +0900] "GET /bigdata/index_mvc.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [13/May/2020:10:17:38 +0900] "GET /bigdata/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:10:17:38 +0900] "GET /bigdata/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:10:17:38 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [13/May/2020:10:23:48 +0900] "GET /bigdata/board/view.jsp?idx=2 HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/May/2020:10:23:48 +0900] "GET /bigdata/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:10:45:07 +0900] "GET /bigdata/board/view.jsp?idx=2 HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/May/2020:10:45:11 +0900] "GET /bigdata/board/delete.jsp?idx=2 HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [13/May/2020:10:45:11 +0900] "GET /bigdata/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:10:45:11 +0900] "GET /bigdata/css/delete.css HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [13/May/2020:10:45:22 +0900] "GET /bigdata/board/view.jsp?idx=2 HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [13/May/2020:10:45:23 +0900] "GET /bigdata/board/delete.jsp?idx=2 HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [13/May/2020:10:45:26 +0900] "POST /bigdata/board/deleteOk.jsp HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [13/May/2020:10:45:34 +0900] "POST /bigdata/board/deleteOk.jsp HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [13/May/2020:10:45:35 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:10:46:46 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:10:48:07 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:10:48:12 +0900] "GET /bigdata/index_mvc.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [13/May/2020:10:48:12 +0900] "GET /bigdata/index_mvc.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [13/May/2020:10:48:13 +0900] "GET /bigdata/index_mvc.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [13/May/2020:10:48:14 +0900] "GET /bigdata/index_mvc.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [13/May/2020:10:49:03 +0900] "GET /bigdata/index_mvc.jsp HTTP/1.1" 200 3172
0:0:0:0:0:0:0:1 - - [13/May/2020:10:49:25 +0900] "GET /bigdata/board/view.jsp?idx=4 HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [13/May/2020:10:49:26 +0900] "GET /bigdata/board/delete.jsp?idx=4 HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [13/May/2020:10:49:30 +0900] "POST /bigdata/board/deleteOk.jsp HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [13/May/2020:10:49:31 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:10:50:38 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:10:50:40 +0900] "GET /bigdata/index.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [13/May/2020:10:50:47 +0900] "GET /bigdata/index.do HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [13/May/2020:10:50:56 +0900] "GET /bigdata/board/view.jsp?idx=3 HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [13/May/2020:10:50:58 +0900] "GET /bigdata/board/delete.jsp?idx=3 HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [13/May/2020:10:51:03 +0900] "POST /bigdata/board/deleteOk.jsp HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [13/May/2020:10:51:05 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:10:59:19 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:10:59:20 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
0:0:0:0:0:0:0:1 - - [13/May/2020:10:59:21 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2058
